Timestamp,Mode,Data
14:57:38.957,RX,"s,194,34,150,182,-0."
14:57:38.957,RX,"04,-0.02,9.51,-0.04,"
14:57:38.958,RX,"0.07,9.56,0.01,0.01,"
14:57:38.959,RX,"-0.01,-0.01,-0.01,0."
14:57:38.960,RX,"00,30,14,41,e"
14:57:38.987,RX,"s,194,34,150,182,-0."
14:57:38.987,RX,"03,0.01,9.51,-0.04,-"
14:57:38.988,RX,"0.00,9.57,0.00,0.00,"
14:57:38.989,RX,"-0.01,-0.00,0.00,0.0"
14:57:38.990,RX,"1,31,14,38,e"
14:57:39.047,RX,"s,194,34,150,182,-0."
14:57:39.047,RX,"01,-0.02,9.51,-0.03,"
14:57:39.048,RX,"0.02,9.53,0.01,0.00,"
14:57:39.049,RX,"-0.01,-0.01,0.00,0.0"
14:57:39.050,RX,"0,31,14,42,e"
14:57:39.077,RX,"s,194,33,150,182,-0."
14:57:39.077,RX,"03,-0.02,9.52,-0.13,"
14:57:39.078,RX,"0.03,9.58,0.01,0.00,"
14:57:39.079,RX,"-0.02,-0.02,-0.01,0."
14:57:39.080,RX,"01,31,14,39,e"
14:57:39.108,RX,"s,194,33,150,182,0.0"
14:57:39.137,RX,"0,0.01,9.52,-0.02,0."
14:57:39.137,RX,"07,9.56,0.01,0.00,-0"
14:57:39.138,RX,".02,-0.00,0.01,0.00,"
14:57:39.139,RX,"31,13,39,e"
14:57:39.168,RX,"s,194,33,150,182,-0."
14:57:39.168,RX,"02,-0.04,9.52,-0.11,"
14:57:39.168,RX,"0.06,9.55,0.01,-0.00"
14:57:39.169,RX,",-0.02,-0.02,-0.02,0"
14:57:39.170,RX,".01,32,14,42,e"
14:57:39.197,RX,"s,194,33,150,182,0.0"
14:57:39.198,RX,"1,-0.01,9.53,-0.05,0"
14:57:39.198,RX,".02,9.57,0.02,0.01,-"
14:57:39.203,RX,"0.02,-0.02,-0.01,0.0"
14:57:39.204,RX,"0,31,13,39,e"
14:57:39.258,RX,"s,194,33,150,182,-0."
14:57:39.259,RX,"06,0.02,9.51,-0.12,0"
14:57:39.259,RX,".02,9.56,0.02,0.00,-"
14:57:39.259,RX,"0.02,-0.02,-0.01,0.0"
14:57:39.260,RX,"0,31,14,39,e"
14:57:39.287,RX,"s,194,33,150,183,-0."
14:57:39.287,RX,"03,0.00,9.52,-0.06,0"
14:57:39.288,RX,".01,9.55,0.01,-0.00,"
14:57:39.289,RX,"-0.02,-0.01,0.01,-0."
14:57:39.290,RX,"00,30,13,42,e"
14:57:39.317,RX,"s,194,33,150,183,0.0"
14:57:39.317,RX,"1,-0.04,9.52,-0.11,0"
14:57:39.318,RX,".07,9.59,0.01,-0.01,"
14:57:39.319,RX,"-0.02,-0.01,-0.01,-0"
14:57:39.320,RX,".00,31,14,40,e"
14:57:39.377,RX,"s,194,33,150,183,-0."
14:57:39.377,RX,"00,-0.10,9.52,-0.09,"
14:57:39.378,RX,"0.06,9.58,0.00,-0.00"
14:57:39.379,RX,",-0.02,-0.01,-0.00,0"
14:57:39.379,RX,".00,30,14,39,e"
14:57:39.381,RX,"s,"
14:57:39.407,RX,"194,33,150,183,-0.01"
14:57:39.407,RX,",-0.07,9.48,-0.02,0."
