Timestamp,Mode,Data
15:02:24.350,RX,"-0.00,9.56,0.04,0.00"
15:02:24.350,RX,",-0.02,-0.00,-0.01,0"
15:02:24.351,RX,".02,31,17,41,e"
15:02:24.380,RX,"s,189,103,281,170,0."
15:02:24.380,RX,"10,"
15:02:24.410,RX,"-0.07,9.53,-0.13,0.1"
15:02:24.410,RX,"4,9.56,0.04,-0.00,-0"
15:02:24.411,RX,".02,-0.02,-0.01,0.01"
15:02:24.440,RX,",31,16,39,e"
15:02:24.440,RX,"s,189,103,281,170,0."
15:02:24.441,RX,"03,-0.0"
15:02:24.441,RX,"2,9.51,-0.15,0.07,9."
15:02:24.442,RX,"59,0.03,0.00,-0.02,0"
15:02:24.443,RX,".00,0.00,0.01,31,15,"
15:02:24.444,RX,"42,e"
15:02:24.470,RX,"s,189,103,281,170,0."
15:02:24.471,RX,"07,-0.07,9.52,-0.10,"
15:02:24.471,RX,"-0.03,9.56,0.01,-0.0"
15:02:24.471,RX,"0,-0.01,0.00,-0.01,0"
15:02:24.473,RX,".01,31,18,40,e"
15:02:24.560,RX,"s,189,103,281,170,0."
15:02:24.561,RX,"05,-0.09,9.50,-0.10,"
15:02:24.561,RX,"0.08,9.58,0.00,0.00,"
15:02:24.562,RX,"-0.01,0.00,-0.01,0.0"
15:02:24.563,RX,"1,31,17,40,e"
15:02:24.563,RX,"s,189,103,281,170,0."
15:02:24.564,RX,"06,-0.07,9.50,-0.08,"
15:02:24.590,RX,"0.06,9.56,0.01,-0.00"
15:02:24.590,RX,",-0.01,0.02,0.01,-0."
15:02:24.591,RX,"00,31,15,41,e
s,189"
15:02:24.592,RX,",103,281,170,0.09,-0"
15:02:24.593,RX,".07,9.51,-0.14,0.04,"
15:02:24.594,RX,"9.55,0.00,-0.00,-0.0"
15:02:24.620,RX,"1,0.00,0.01,0.00,31,"
15:02:24.621,RX,"15,43,e"
15:02:24.650,RX,"s,189,103,281,170,0."
15:02:24.651,RX,"06,-0.04,9.53,-0.18,"
15:02:24.651,RX,"0.07,9.56,-0.00,0.00"
15:02:24.652,RX,",-0.01,0.01,0.03,-0."
15:02:24.653,RX,"01,31,14,42,e"
15:02:24.680,RX,"s,189,103,281,170,0."
15:02:24.680,RX,"07,-0.09,9.51,-0.19,"
15:02:24.681,RX,"0.06,9.55,-0.01,-0.0"
15:02:24.682,RX,"0,-0.00,0.01,0.01,-0"
15:02:24.683,RX,".01,31,15,41,e"
15:02:24.710,RX,"s,189,103,281,170,0."
15:02:24.710,RX,"13,-0.05,9.51,-0.11,"
15:02:24.711,RX,"0.09,9.53,0.00,-0.00"
15:02:24.712,RX,",-0.00,0.00,0.00,0.0"
15:02:24.713,RX,"0,31,16,40,e"
15:02:24.770,RX,"s,189,103,281,170,0."
15:02:24.770,RX,"06,-0.13,9.50,-0.15,"
15:02:24.771,RX,"0.02,9.58,0.00,-0.00"
15:02:24.772,RX,",-0.00,0.01,0.00,-0."
15:02:24.773,RX,"00,30,15,41,e"
15:02:24.800,RX,"s,189,103,281,170,0."
15:02:24.800,RX,"08,-0.09,9.52,-0.11,"
15:02:24.801,RX,"0.12,9.56,0.02,0.00,"
15:02:24.802,RX,"-0.00,-0.02,0.01,-0."
15:02:24.803,RX,"00,32,16,39,e"
15:02:24.830,RX,"s,189,103,281,170,0."
15:02:24.830,RX,"11,-0.05,9.49,-0.02,"
15:02:24.831,RX,"0.00,9.57,0.00,0.00,"
15:02:24.832,RX,"-0.00,0.01,-0.00,0.0"
15:02:24.833,RX,"0,30,15,39,e"
15:02:24.890,RX,"s,189,103,281,170,0."
15:02:24.890,RX,"08,-0.08,9.51,-0.11,"
15:02:24.891,RX,"0.04,9.57,0.00,0.00,"
15:02:24.892,RX,"-0.00,-0.00,-0.01,-0"
15:02:24.893,RX,".01,31,15,40,e"
15:02:24.920,RX,"s,189,103,281,170,0."
15:02:24.920,RX,"11,-0.07,9.49,-0.07,"
15:02:24.921,RX,"0.09,9.55,0.00,0.00,"
15:02:24.922,RX,"-0.00,0.01,-0.01,-0."
15:02:24.923,RX,"00,31,21,41,e"
15:02:24.950,RX,"s,189,103,281,170,0."
15:02:24.951,RX,"14,-0.10,9.51,-0.09,"
15:02:24.951,RX,"0.02,9.55,-0.00,-0.0"
15:02:24.952,RX,"0,-0.00,0.01,0.00,-0"
15:02:24.953,RX,".00,32,18,39,e"
15:02:25.010,RX,"s,189,103,281,170,0."
15:02:25.010,RX,"13,-0.10,9.48,-0.08,"
15:02:25.011,RX,"0.04,9.56,0.01,-0.01"
15:02:25.012,RX,",-0.01,-0.00,0.00,-0"
15:02:25.013,RX,".00,31,17,42,e"
15:02:25.040,RX,"s,189,103,281,170,0."
15:02:25.040,RX,"10,-0.06,9.48,-0.13,"
15:02:25.041,RX,"0.04,9.59,0.01,-0.00"
15:02:25.070,RX,",-0.01,-0.01,0.01,-0"
15:02:25.070,RX,".01,30,18,40,e"
15:02:25.071,RX,"s,189,103,281,170,0."
15:02:25.072,RX,"09,-0.09,9.51,-0.18,"
15:02:25.072,RX,"0.03,9.55,0.02,0.00,"
15:02:25.073,RX,"-0.01,0.00,0.01,-0.0"
15:02:25.074,RX,"1,31,16,37,e"
15:02:25.130,RX,"s,189,103,281,170,0."
15:02:25.130,RX,"06,-0.08,9.50,-0.13,"
15:02:25.131,RX,"0.08,9.55,0.01,-0.00"
15:02:25.132,RX,",-0.01,-0.01,0.01,-0"
15:02:25.133,RX,".01,30,17,43,e"
15:02:25.160,RX,"s,189,103,281,170,0."
15:02:25.161,RX,"12,-0.08,9.53,-0.02,"
15:02:25.161,RX,"0.03,9.56,-0.01,-0.0"
15:02:25.162,RX,"0,-0.01,0.02,0.02,0."
15:02:25.163,RX,"00,31,16,40,e"
15:02:25.190,RX,"s,189,103,281,170,0."
15:02:25.191,RX,"06,-0.07,9.51,-0.12,"
15:02:25.191,RX,"0.06,9.59,-0.01,-0.0"
15:02:25.192,RX,"1,-0.01,0.00,-0.00,0"
15:02:25.193,RX,".00,31,14,39,e"
15:02:25.250,RX,"s,189,103,281,170,0."
15:02:25.250,RX,"10,-0.12,9.51,-0.10,"
15:02:25.251,RX,"0.01,9.57,-0.01,-0.0"
15:02:25.252,RX,"0,-0.01,0.01,-0.01,-"
15:02:25.253,RX,"0.00,29,18,41,e"
15:02:25.280,RX,"s,189,103,281,170,0."
15:02:25.281,RX,"07,-0.11,9.49,-0.15,"
15:02:25.281,RX,"0.02,9.56,0.01,0.00,"
15:02:25.282,RX,"-0.01,0.00,-0.01,0.0"
15:02:25.284,RX,"0,31,17,39,e"
15:02:25.310,RX,"s,189,103,281,170,0."
15:02:25.310,RX,"13,-0.05,9.52,-0.09,"
15:02:25.311,RX,"0.04,9.56,0.01,-0.00"
15:02:25.312,RX,",-0.01,0.00,-0.00,0."
15:02:25.313,RX,"00,30,16,39,e"
15:02:25.370,RX,"s,189,103,281,170,0."
15:02:25.370,RX,"03,-0.11,9.55,-0.14,"
15:02:25.371,RX,"0.07,9.56,0.01,-0.00"
15:02:25.372,RX,",-0.01,0.00,-0.00,0."
15:02:25.372,RX,"00,32,16,42,e"
15:02:25.373,RX,"s,189,103,281,170,0."
15:02:25.374,RX,"12,-0.10,9.52,"
15:02:25.430,RX,"-0.10,0.03,9.56,0.00"
15:02:25.431,RX,",-0.00,-0.00,0.01,0."
15:02:25.431,RX,"00,0.00,31,14,40,e"
15:02:25.432,RX,"s,189,103,281,170,0."
15:02:25.432,RX,"09,-0.10,9.53,-0.05,"
15:02:25.433,RX,"-0.09,9.60,-0.00,-0."
15:02:25.434,RX,"00,-0.01,0.01,0.01,-"
15:02:25.461,RX,"0.01,30,18,39,e
s"
15:02:25.490,RX,",189,103,281,170,0.0"
15:02:25.490,RX,"9,-0.12,9.49,-0.11,0"
15:02:25.491,RX,".05,9.52,0.02,0.00,-"
15:02:25.492,RX,"0.00,0.00,0.02,-0.01"
15:02:25.492,RX,",31,19,40,e"
15:02:25.494,RX,"s,189,103,281,170,0."
