Timestamp,Mode,Data
15:08:09.325,RX,"s,188,118,296,170,0."
15:08:09.326,RX,"07,-0.13,9.48,0.17,-"
15:08:09.327,RX,"0.13,9.57,-0.03,0.01"
15:08:09.327,RX,",0.01,0.07,0.01,-0.0"
15:08:09.329,RX,"0,31,15,43,e"
15:08:09.356,RX,"s,188,118,296,170,-0"
15:08:09.356,RX,".07,-0.19,9.52,-0.15"
15:08:09.357,RX,",-0.04,9.59,-0.14,0."
15:08:09.357,RX,"01,0.06,0.05,-0.03,0"
15:08:09.358,RX,".01,30,14,41,e"
15:08:09.386,RX,"s,188,117,296,170,-0"
15:08:09.386,RX,".11,-0.16,9.58,-0.30"
15:08:09.387,RX,",0.18,9.60,-0.08,-0."
15:08:09.387,RX,"01,0.03,0.03,-0.01,0"
15:08:09.389,RX,".00,30,15,38,e"
15:08:09.446,RX,"s,188,117,296,170,0."
15:08:09.446,RX,"04,-0.05,9.50,-0.05,"
15:08:09.447,RX,"-0.05,9.56,-0.00,0.0"
15:08:09.447,RX,"0,-0.02,0.01,0.01,-0"
15:08:09.448,RX,".01,30,16,41,e"
15:08:09.450,RX,"s,188,117,"
15:08:09.476,RX,"296,170,0.13,-0.00,9"
15:08:09.476,RX,".45,0.15,0.16,9.54,0"
15:08:09.477,RX,".01,-0.01,-0.02,-0.0"
15:08:09.478,RX,"2,0.02,-0.03,31,14,3"
15:08:09.479,RX,"9,e"
15:08:09.506,RX,"s,188,117,296,170,0."
15:08:09.506,RX,"33,-0.14,9.42,0.27,-"
15:08:09.507,RX,"0.11,9.51,0.03,-0.00"
15:08:09.508,RX,",-0.02,0.03,0.00,-0."
15:08:09.509,RX,"01,31,15,40,e"
15:08:09.566,RX,"s,188,117,296,170,0."
15:08:09.567,RX,"12,-0.11,9.46,0.04,-"
15:08:09.567,RX,"0.09,9.55,0.03,0.02,"
15:08:09.568,RX,"0.01,-0.01,-0.04,0.0"
15:08:09.568,RX,"1,31,14,41,e"
15:08:09.569,RX,"s,188,118,296,170,-0"
15:08:09.570,RX,".18,0.01,"
15:08:09.596,RX,"9.56,-0.26,0.21,9.56"
15:08:09.596,RX,",0.00,0.01,0.01,-0.0"
15:08:09.597,RX,"2,-0.03,0.01,31,14,4"
15:08:09.598,RX,"1,e"
15:08:09.656,RX,"s,188,118,296,170,-0"
15:08:09.656,RX,".08,-0.05,9.52,-0.22"
15:08:09.657,RX,",0.06,9.58,0.02,-0.0"
15:08:09.658,RX,"0,-0.02,-0.00,0.00,-"
15:08:09.659,RX,"0.00,31,15,37,e"
15:08:09.686,RX,"s,188,118,296,170,0."
15:08:09.686,RX,"04,-0.03,9.52,-0.00,"
15:08:09.687,RX,"0.02,9.57,0.04,-0.02"
15:08:09.687,RX,",-0.03,-0.02,0.02,-0"
15:08:09.688,RX,".01,30,14,43,e"
15:08:09.690,RX,"s,188,118,296,170,0."
15:08:09.746,RX,"18,0.04,9.45,0.19,0."
15:08:09.746,RX,"01,9.47,0.06,-0.02,-"
15:08:09.747,RX,"0.03,-0.02,0.03,-0.0"
15:08:09.748,RX,"1,31,15,40,e"
15:08:09.748,RX,"s,188,118,296,170,0."
15:08:09.749,RX,"26,-0.14,9.54,0.13,0"
15:08:09.750,RX,".01,9.56,0.03,-0.00,"
15:08:09.776,RX,"-0.01,0.01,-0.01,0.0"
15:08:09.776,RX,"1,30,13,39,e
s,188,"
15:08:09.777,RX,"118,296,170,-0.04,-0"
15:08:09.778,RX,".08,9.50,-0.09,-0.16"
15:08:09.779,RX,",9.58,0.03,0.02"
15:08:09.806,RX,",0.01,0.01,-0.04,0.0"
15:08:09.808,RX,"1,31,14,41,e"
15:08:09.836,RX,"s,188,118,296,170,-0"
15:08:09.836,RX,".20,0.01,9.52,-0.36,"
15:08:09.837,RX,"0.24,9.62,0.04,-0.00"
15:08:09.838,RX,",-0.00,-0.01,-0.01,0"
15:08:09.839,RX,".01,31,14,40,e"
15:08:09.867,RX,"s,"
15:08:09.896,RX,"188,118,296,170,-0.0"
15:08:09.896,RX,"5,-0.02,9.53,-0.10,0"
15:08:09.897,RX,".06,9.55,0.04,-0.02,"
15:08:09.898,RX,"-0.02,-0.01,0.00,-0."
15:08:09.898,RX,"00,31,14,39,e"
15:08:09.900,RX,"s,188,118,297,170,0."
15:08:09.926,RX,"07,-0.01,9.45,0.04,0"
15:08:09.926,RX,".01,9.55,0.02,-0.03,"
15:08:09.927,RX,"-0.02,-0.03,-0.02,-0"
15:08:09.929,RX,".01,30,14,41,e"
15:08:09.956,RX,"s,188,118,297,170,0."
15:08:09.956,RX,"25,"
15:08:09.957,RX,"-0.12,9.50,0.18,0.02"
15:08:09.957,RX,",9.54,0.04,-0.02,-0."
15:08:09.958,RX,"01,-0.01,-0.02,-0.01"
15:08:09.960,RX,",31,14,40,e"
15:08:10.016,RX,"s,188,118,297,170,0."
15:08:10.017,RX,"02,-0.12,9.52,-0.00,"
15:08:10.017,RX,"-0.02,9.59,0.03,0.01"
15:08:10.018,RX,",0.00,0.01,-0.02,0.0"
15:08:10.018,RX,"1,30,14,40,e"
15:08:10.019,RX,"s,188,118,297,170,-0"
15:08:10.020,RX,".13,0"
15:08:10.046,RX,".04,9.52,-0.30,0.21,"
15:08:10.046,RX,"9.61,0.00,0.01,0.02,"
