Timestamp,Mode,Data
17:34:54.120,RX,"7,e
s,187,290,110,1"
17:34:54.121,RX,"85,-0.02,0.05,9.77,-"
17:34:54.122,RX,"0.06,-0.00,9.88,-0.0"
17:34:54.122,RX,"3,-0.01,-0.02,-0.01,"
17:34:54.123,RX,"0.01,-0.01,10,30,103"
17:34:54.124,RX,",e
s,187,290,110,18"
17:34:54.125,RX,"5,-0.08,-0.10,9.75,0"
17:34:54.150,RX,".03,0.01,9.85,-0.00,"
17:34:54.150,RX,"-0.01,-0.02,-0.00,0."
17:34:54.151,RX,"01,-0.00,10,29,96,e"
17:34:54.152,RX,"s,187,290,111,185,-"
17:34:54.152,RX,"0.07,0.10,9.75,-0.02"
17:34:54.154,RX,",-0.04,9.87,-0.05,0."
17:34:54.180,RX,"00,-0.01,-0.01,-0.00"
17:34:54.181,RX,",0.00,10,29,84,e
s,"
17:34:54.181,RX,"187,290,111,185,-0.1"
17:34:54.182,RX,"2,0.00,9.72,0.05,-0."
17:34:54.182,RX,"10,9.80,0.02,-0.00,-"
17:34:54.184,RX,"0.01,-0.01,-0.01,-0."
17:34:54.210,RX,"01,14,30,101,e
s,18"
17:34:54.211,RX,"7,290,111,185,0.03,0"
17:34:54.211,RX,".14,9.70,-0.01,0.05,"
17:34:54.212,RX,"9.84,-0.07,0.01,0.00"
17:34:54.212,RX,",-0.00,-0.00,-0.00,1"
17:34:54.214,RX,"1,30,102,e
s,187,29"
17:34:54.240,RX,"0,111,185,-0.13,-0.0"
17:34:54.240,RX,"1,9.73,0.01,-0.02,9."
17:34:54.241,RX,"84,0.04,-0.01,-0.01,"
17:34:54.242,RX,"-0.00,-0.01,-0.01,12"
17:34:54.242,RX,",30,98,e
s,187,290,"
17:34:54.244,RX,"111,185,-0.05,0.01,9"
17:34:54.270,RX,".76,0.01,-0.08,9.87,"
17:34:54.270,RX,"-0.00,0.00,-0.00,-0."
17:34:54.271,RX,"00,-0.00,-0.01,10,29"
17:34:54.272,RX,",101,e
s,187,290,11"
17:34:54.273,RX,"1,185,-0.08,0.01,9.7"
17:34:54.274,RX,"3,0.03,-0.01,9.84,-0"
17:34:54.300,RX,".03,0.01,0.01,0.02,-"
17:34:54.300,RX,"0.01,-0.00,9,30,101,"
17:34:54.301,RX,"e
s,187,290,111,185"
17:34:54.302,RX,",-0.06,0.01,9.73,0.0"
17:34:54.302,RX,"5,-0.07,9.82,-0.02,0"
17:34:54.304,RX,".00,0.01,-0.00,-0.01"
17:34:54.330,RX,",0.00,10,30,101,e
s"
17:34:54.331,RX,",187,290,111,185,-0."
17:34:54.331,RX,"04,-0.01,9.76,0.05,-"
17:34:54.332,RX,"0.05,9.86,-0.02,0.01"
17:34:54.333,RX,",0.02,0.01,-0.00,-0."
17:34:54.334,RX,"01,9,30,84,e
s,187,"
17:34:54.360,RX,"290,111,185,-0.05,0."
17:34:54.361,RX,"07,9.76,-0.02,0.01,9"
17:34:54.361,RX,".86,0.01,0.00,0.01,-"
17:34:54.362,RX,"0.00,-0.01,0.00,10,3"
17:34:54.363,RX,"0,98,e
s,187,290,11"
17:34:54.365,RX,"1,185,-0.05,0.02,9.7"
17:34:54.390,RX,"2,-0.01,-0.01,9.82,0"
17:34:54.390,RX,".00,0.00,0.01,-0.00,"
17:34:54.391,RX,"-0.00,0.00,9,30,119,"
17:34:54.392,RX,"e
s,187,290,111,185"
17:34:54.393,RX,",-0.10,0.01,9.73,-0."
17:34:54.394,RX,"01,-0.07,9.84,-0.02,"
17:34:54.420,RX,"0.00,0.00,0.01,0.00,"
17:34:54.420,RX,"0.00,9,30,65,e
s,18"
17:34:54.421,RX,"7,290,111,185,-0.07,"
17:34:54.422,RX,"0.12,9.74,0.03,0.07,"
17:34:54.423,RX,"9.83,-0.03,0.00,0.00"
17:34:54.424,RX,",-0.00,0.01,0.01,9,2"
17:34:54.450,RX,"9,48,e
s,187,290,11"
17:34:54.450,RX,"1,185,-0.10,0.04,9.7"
17:34:54.451,RX,"1,0.02,-0.05,9.81,0."
17:34:54.452,RX,"00,0.01,-0.00,-0.01,"
17:34:54.452,RX,"-0.00,0.01,9,30,42,e"
17:34:54.454,RX,"s,187,290,111,185,"
17:34:54.480,RX,"-0.03,0.05,9.74,0.05"
17:34:54.480,RX,",0.09,9.81,-0.01,0.0"
17:34:54.481,RX,"1,-0.01,0.00,0.01,0."
17:34:54.482,RX,"01,9,29,44,e
s,187,"
17:34:54.482,RX,"291,111,185,0.07,0.0"
17:34:54.484,RX,"7,9.75,0.08,0.10,9.8"
17:34:54.510,RX,"8,-0.04,0.00,0.01,0."
17:34:54.511,RX,"01,-0.00,0.01,9,29,4"
17:34:54.511,RX,"6,e
s,187,291,111,1"
17:34:54.512,RX,"85,-0.04,0.10,9.73,0"
17:34:54.512,RX,".06,-0.09,9.79,-0.02"
17:34:54.514,RX,",0.01,0.01,-0.02,-0."
17:34:54.540,RX,"01,-0.00,10,29,46,e"
17:34:54.541,RX,"s,187,291,111,185,-"
17:34:54.541,RX,"0.18,0.15,9.68,-0.03"
17:34:54.542,RX,",-0.10,9.80,-0.01,0."
17:34:54.543,RX,"00,0.00,0.01,0.01,-0"
17:34:54.544,RX,".01,9,30,39,e
s,187"
17:34:54.570,RX,",291,112,185,0.11,-0"
17:34:54.570,RX,".07,9.73,0.18,0.21,9"
