Timestamp,Mode,Data
16:39:14.170,RX,"s,167,93,272,179,-0."
16:39:14.170,RX,"10,-0.02,9.65,-0.04,"
16:39:14.170,RX,"-0.22,9.68,0.01,0.00"
16:39:14.171,RX,",0.03,-0.03,-0.02,-0"
16:39:14.172,RX,".02,34,123,41,e"
16:39:14.199,RX,"s,167,93,272,179,0.0"
16:39:14.200,RX,"4,0.04,9.63,0.17,-0."
16:39:14.200,RX,"03,9.67,0.01,-0.00,0"
16:39:14.201,RX,".05,-0.06,-0.03,-0.0"
16:39:14.202,RX,"4,34,125,41,e"
16:39:14.231,RX,"s,168,93,272,179,0.2"
16:39:14.231,RX,"1,0.13,9.67,0.29,0.1"
16:39:14.231,RX,"7,9.65,0.01,-0.01,0."
16:39:14.232,RX,"04,-0.03,-0.02,-0.04"
16:39:14.232,RX,",36,121,39,e"
16:39:14.290,RX,"s,168,93,272,179,0.2"
16:39:14.290,RX,"3,0.21,9.70,0.17,0.1"
16:39:14.290,RX,"3,9.68,0.00,-0.01,0."
16:39:14.291,RX,"01,-0.02,0.01,-0.02,"
16:39:14.296,RX,"33,117,41,e"
16:39:14.320,RX,"s,168,93,272,179,0.0"
16:39:14.320,RX,"6,0.17,9.69,0.17,-0."
16:39:14.320,RX,"01,9.68,0.00,-0.01,-"
16:39:14.321,RX,"0.01,-0.02,-0.01,-0."
16:39:14.322,RX,"00,32,116,40,e"
16:39:14.350,RX,"s,168,93,272,179,0.0"
16:39:14.379,RX,"1,0.02,9.67,0.05,-0."
16:39:14.383,RX,"06,9.64,0.01,-0.00,-"
16:39:14.383,RX,"0.01,-0.01,-0.02,0.0"
16:39:14.384,RX,"1,31,114,39,e"
16:39:14.409,RX,"s,168,93,272,179,-0."
16:39:14.411,RX,"04,0.01,9.67,0.03,-0"
16:39:14.411,RX,".06,9.71,-0.00,-0.00"
16:39:14.411,RX,",-0.01,-0.01,-0.01,-"
16:39:14.412,RX,"0.01,31,108,42,e"
16:39:14.440,RX,"s,168,93,272,179,-0."
16:39:14.440,RX,"02,0.06,9.68,0.03,-0"
16:39:14.440,RX,".07,9.67,-0.01,-0.01"
16:39:14.443,RX,",0.00,-0.00,-0.01,-0"
16:39:14.444,RX,".01,32,101,40,e"
16:39:14.500,RX,"s,168,93,272,179,0.0"
16:39:14.500,RX,"2,0.10,9.68,0.12,0.0"
16:39:14.500,RX,"2,9.68,0.01,-0.00,0."
16:39:14.501,RX,"00,-0.02,-0.01,-0.01"
16:39:14.503,RX,",30,89,38,e"
16:39:14.529,RX,"s,168,93,272,179,-0."
16:39:14.533,RX,"02,0.07,9.66,0.01,-0"
16:39:14.533,RX,".08,9.68,0.01,-0.00,"
16:39:14.533,RX,"0.00,-0.02,-0.01,-0."
16:39:14.533,RX,"02,31,97,43,e"
16:39:14.559,RX,"s,168,93,272,179,-0."
16:39:14.560,RX,"17,-0.07,9.69,-0.07,"
16:39:14.560,RX,"-0.12,9.71,0.02,0.00"
16:39:14.561,RX,",0.01,-0.03,-0.02,-0"
16:39:14.562,RX,".02,32,98,39,e"
16:39:14.620,RX,"s,168,93,272,179,-0."
16:39:14.620,RX,"15,-0.13,9.65,-0.02,"
16:39:14.620,RX,"-0.15,9.68,0.05,-0.0"
16:39:14.621,RX,"1,0.03,-0.05,-0.02,-"
16:39:14.625,RX,"0.04,31,101,39,e"
16:39:14.650,RX,"s,168,94,272,179,0.0"
16:39:14.650,RX,"8,0.04,9.69,0.15,-0."
16:39:14.650,RX,"02,9.69,0.08,-0.01,0"
16:39:14.651,RX,".04,-0.08,-0.01,-0.0"
16:39:14.652,RX,"7,32,115,41,e"
16:39:14.679,RX,"s,169,94,273,179,0.2"
16:39:14.683,RX,"0,0.14,9.63,0.18,0.1"
16:39:14.683,RX,"5,9.68,0.05,0.00,0.0"
16:39:14.683,RX,"5,-0.06,-0.01,-0.07,"
16:39:14.683,RX,"31,112,40,e"
16:39:14.740,RX,"s,169,94,273,179,0.1"
16:39:14.741,RX,"9,0.19,9.67,0.20,0.2"
16:39:14.741,RX,"2,9.71,0.01,-0.00,0."
16:39:14.741,RX,"03,-0.05,-0.01,-0.04"
16:39:14.744,RX,",32,110,39,e"
16:39:14.770,RX,"s,169,94,273,179,0.2"
16:39:14.770,RX,"0,0.15,9.66,0.21,0.1"
16:39:14.770,RX,"3,9.68,0.02,-0.01,0."
16:39:14.773,RX,"01,-0.04,-0.01,-0.03"
16:39:14.775,RX,",31,107,41,e"
16:39:14.775,RX,"s"
16:39:14.800,RX,",169,94,273,179,0.18"
